stock_id,date,close
009815,20260709,11.25
009816,20260722,15.04
009817,20260722,9.21
009818,20260722,20.0
009819,20260722,10.01
00981A,20260722,28.5
00981B,20260717,9.38
00981D,20260717,10.49
00981T,20260722,12.04
009820,20260722,9.99
009821,20260722,12.95
009822,20260709,9.73
009823,20260709,10.3
009824,20260722,10.17
00982A,20260722,22.84
00982B,20260717,9.79
00982D,20260722,9.91
00982T,20260722,15.16
00983A,20260722,11.82
00983B,20260717,15.75
00983D,20260722,10.16
00984A,20260722,15.22
00984B,20260717,16.35
00984D,20260722,10.25
00985A,20260722,21.31
00985B,20260722,10.42
00985D,20260717,10.2
00986A,20260722,14.81
00986B,20260717,9.92
00986D,20260717,14.9
00987A,20260722,14.79
00987B,20260717,16.09
00988A,20260722,17.63
00988B,20260717,19.96
00989A,20260722,17.26
00989B,20260717,10.25
00990A,20260722,16.7
00990B,20260717,10.05
00991A,20260722,17.34
00992A,20260722,16.22
00993A,20260722,12.82
00994A,20260722,16.26
00995A,20260722,16.58
00996A,20260722,14.07
00997A,20260722,11.65
00998A,20260717,17.13
00999A,20260722,10.55
01001T,20260722,11.37
01002T,20260722,13.7
01004T,20260722,10.29
01007T,20260722,12.3
01009T,20260722,5.7
01010T,20260722,10.0
020000,20260722,31.2
020011,20260713,0.0
020012,20260721,22.14
02001L,20260722,144.5
020020,20260722,26.68
020028,20260722,19.09
020029,20260722,18.31
020030,20260722,17.96
020031,20260722,9.66
020032,20260717,9.73
020034,20260722,13.65
020036,20260713,9.92
020037,20260716,10.93
020038,20260722,14.11
020039,20260722,14.38
1101,20260722,23.85
1101B,20260722,43.6
1102,20260722,32.45
1103,20260722,13.55
1104,20260722,26.5
1108,20260722,12.2
1109,20260722,13.8
1110,20260722,16.0
1201,20260722,12.65
1203,20260722,46.45
1210,20260722,57.0
1213,20260722,7.3
1215,20260722,109.0
1216,20260722,76.8
1217,20260722,9.92
1218,20260722,16.05
1219,20260722,11.65
1220,20260722,11.3
1225,20260722,26.6
1227,20260722,29.95
1229,20260722,40.2
1231,20260722,90.8
1232,20260722,153.5
1233,20260722,28.7
1234,20260722,33.3
1235,20260722,35.8
1236,20260722,23.6
1256,20260722,183.5
1301,20260722,63.5
1303,20260722,208.0
1304,20260722,13.35
1305,20260722,12.7
1307,20260722,32.5
1308,20260722,14.6
1309,20260722,14.8
1310,20260722,10.15
1312,20260722,13.8
1312A,20260717,21.45
1313,20260722,12.3
1314,20260722,8.42
1315,20260722,64.4
1316,20260722,10.4
1319,20260722,73.2
1321,20260722,31.9
1323,20260722,19.85
1324,20260722,10.25
1325,20260722,26.7
1326,20260722,70.6
1337,20260722,4.88
1338,20260722,16.1
1339,20260722,45.2
1340,20260722,5.16
1341,20260722,58.5
1342,20260722,114.0
1402,20260722,27.2
1409,20260722,24.4
1410,20260722,26.35
1413,20260722,9.42
1414,20260722,18.0
1416,20260722,11.05
1417,20260722,8.8
1418,20260722,18.15
1419,20260722,65.9
1423,20260722,36.1
1432,20260722,15.05
1434,20260722,19.2
1435,20260722,19.2
1436,20260722,45.3
1437,20260722,31.15
1438,20260722,21.9
1439,20260722,26.6
1440,20260722,12.85
1441,20260722,9.03
1442,20260722,29.15
1443,20260722,26.0
1444,20260722,8.05
1445,20260722,11.05
1446,20260722,14.0
1447,20260722,7.78
1449,20260722,12.8
1451,20260722,17.4
1452,20260722,11.65
1453,20260722,11.2
1454,20260722,12.65
1455,20260722,9.14
1456,20260722,13.95
1457,20260722,14.25
1459,20260722,11.85
1460,20260722,6.97
1463,20260722,17.95
1464,20260722,10.4
1465,20260722,12.5
1466,20260722,17.3
1467,20260722,10.0
1468,20260722,13.1
1470,20260722,22.55
1471,20260722,9.98
1472,20260722,88.4
1473,20260722,20.15
1474,20260722,10.5
1475,20260722,27.2
1476,20260722,337.5
1477,20260722,214.5
1503,20260722,211.5
1504,20260722,68.1
1506,20260722,10.6
1512,20260722,6.65
1513,20260722,162.5
1514,20260722,108.5
1515,20260722,38.3
1516,20260722,16.15
1517,20260722,11.6
1519,20260722,705.0
1521,20260722,25.35
1522,20260722,28.55
1522A,20260722,48.85
1524,20260722,26.65
1525,20260722,66.4
1526,20260722,16.25
1527,20260722,33.7
1528,20260722,19.95
1529,20260722,19.4
1530,20260722,30.65
1531,20260722,13.05
1532,20260722,23.15
1533,20260722,33.7
1535,20260722,45.75
1536,20260722,52.3
1537,20260722,125.5
1538,20260722,10.0
1539,20260722,16.0
1540,20260722,22.0
1541,20260722,22.2
1558,20260722,93.6
1560,20260722,707.0
1563,20260722,62.8
1568,20260722,29.55
1582,20260722,71.3
1583,20260722,49.35
1587,20260722,25.25
1590,20260722,1430.0
