symbol,name,current_ind,csv_ind,source
1229,聯華,食品工業,02,L
9904,寶成,其他等,37,L
8454,富邦媒,其他等,36,L
3006,晶豪科,半導體業,24,L
3030,德律,運動休閒,31,L
3005,神基,金融保險,25,L
3406,玉晶光,貿易百貨,26,L
7799,禾榮科,建材營造,22,L
3042,晶技,綜合,28,L
3167,大量,電機機械,05,L
4919,新唐,半導體業,24,L
9910,豐泰,其他等,37,L
3583,辛耘,半導體業,24,L
2845,遠東銀,通訊網路業,17,L
2646,星宇航空,電腦及週邊設備業,15,L
8926,台汽電,航運業,23,L
2637,慧洋-KY,電腦及週邊設備業,15,L
2472,立隆電,綜合,28,L
2455,全新,油電燃氣業,27,L
2486,一詮,貿易百貨,26,L
2371,大同,電機機械,05,L
6451,訊芯-KY,半導體業,24,L
6278,台表科,貿易百貨,26,L
6414,樺漢,金融保險,25,L
2915,潤泰全,電子零組件業,18,L
2889,國票金,通訊網路業,17,L
3035,智原,半導體業,24,L
8028,昇陽半導體,半導體業,24,L
2458,義隆,半導體業,24,L
2258,鴻華先進-創,橡膠工業,12,L
1477,聚陽,紡織纖維,04,L
2634,漢翔,電腦及週邊設備業,15,L
1795,美時,建材營造,22,L
6472,保瑞,建材營造,22,L
2606,裕民,電腦及週邊設備業,15,L
6831,邁科,金融保險,25,L
6271,同欣電,半導體業,24,L
2597,潤弘,半導體業,14,L
1773,勝一,其他電子業,21,L
2352,佳世達,金融保險,25,L
6890,來億-KY,其他等,37,L
2006,東和鋼鐵,造紙工業,10,L
2312,金寶,運動休閒,31,L
1210,大成,食品工業,02,L
5522,遠雄,半導體業,14,L
6191,精成科,綜合,28,L
2540,愛山林,半導體業,14,L
2206,三陽工業,橡膠工業,12,L
6282,康舒,綜合,28,L
6116,彩晶,貿易百貨,26,L
4583,台灣精銳,電機機械,05,L
9917,中保科,資訊服務業,20,L
2923,鼎固-KY,半導體業,14,L
4763,材料*-KY,其他電子業,21,L
3714,富采,貿易百貨,26,L
2539,櫻花建,半導體業,14,L
9941,裕融,資訊服務業,20,L
1722,台肥,其他電子業,21,L
3563,牧德,貿易百貨,26,L
1907,永豐餘,玻璃陶瓷,09,L
7822,倍利科,半導體業,24,L
2850,新產,通訊網路業,17,L
1319,東陽,橡膠工業,12,L
8112,至上,綠能環保,29,L
6197,佳必琪,綜合,28,L
8016,矽創,半導體業,24,L
7795,長廣,綜合,28,L
1409,新纖,紡織纖維,04,L
3715,定穎投控,綜合,28,L
3596,智易,油電燃氣業,27,L
2428,興勤,綜合,28,L
4766,南寶,其他電子業,21,L
2421,建準,綜合,28,L
2388,威盛,半導體業,24,L
8039,台虹,綜合,28,L
3019,亞光,貿易百貨,26,L
1736,喬山,其他等,37,L
2211,長榮鋼,造紙工業,10,L
5469,瀚宇博,綜合,28,L
5234,達興材料,貿易百貨,26,L
6214,精誠,數位雲端,30,L
9933,中鼎,資訊服務業,20,L
8261,富鼎,半導體業,24,L
8070,長華*,綠能環保,29,L
2316,楠梓電,綜合,28,L
3376,新日興,綜合,28,L
2504,國產,半導體業,14,L
2498,宏達電,油電燃氣業,27,L
8033,雷虎,資訊服務業,20,L
3413,京鼎,半導體業,24,L
6592,和潤企業,資訊服務業,20,L
8422,可寧衛*,其他等,35,L
6670,復盛應用,其他等,37,L
2351,順德,半導體業,24,L
2367,燿華,綜合,28,L
9939,宏全,資訊服務業,20,L
2015,豐興,造紙工業,10,L
6412,群電,綜合,28,L
3016,嘉晶,半導體業,24,L
2493,揚博,綜合,28,L
2329,華泰,半導體業,24,L
2363,矽統,半導體業,24,L
1314,中石化,塑膠工業,03,L
8131,福懋科,半導體業,24,L
1514,亞力,電機機械,05,L
2464,盟立,運動休閒,31,L
4585,達明,運動休閒,31,L
1215,卜蜂,食品工業,02,L
4915,致伸,綜合,28,L
6449,鈺邦,綜合,28,L
2548,華固,半導體業,14,L
3673,TPK-KY,貿易百貨,26,L
2204,中華,橡膠工業,12,L
2903,遠百,電子零組件業,18,L
2393,億光,貿易百貨,26,L
1609,大亞,電器電纜,06,L
3010,華立,綠能環保,29,L
2201,裕隆,橡膠工業,12,L
2851,中再保,通訊網路業,17,L
1434,福懋,紡織纖維,04,L
2897,王道銀行,通訊網路業,17,L
6166,凌華,金融保險,25,L
6491,晶碩,建材營造,22,L
9958,世紀鋼,造紙工業,10,L
4764,雙鍵,其他電子業,21,L
2849,安泰銀,通訊網路業,17,L
9921,巨大,其他等,37,L
6579,研揚,金融保險,25,L
2072,世紀風電,其他等,35,L
2476,鉅祥,綜合,28,L
6719,力智,半導體業,24,L
2501,國建,半導體業,14,L
1227,佳格,食品工業,02,L
2362,藍天,金融保險,25,L
1808,潤隆,半導體業,14,L
6757,台灣虎航,電腦及週邊設備業,15,L
3576,聯合再生,貿易百貨,26,L
4551,智伸科,橡膠工業,12,L
4722,國精化,其他電子業,21,L
6715,嘉基,綜合,28,L
8110,華東,半導體業,24,L
4576,大銀微系統,電機機械,05,L
3515,華擎,金融保險,25,L
1904,正隆,玻璃陶瓷,09,L
7827,漢康-KY創,建材營造,22,L
1231,聯華食,食品工業,02,L
5388,中磊,油電燃氣業,27,L
6525,捷敏-KY,半導體業,24,L
2023,燁輝,造紙工業,10,L
2374,佳能,貿易百貨,26,L
2478,大毅,綜合,28,L
2208,台船,電腦及週邊設備業,15,L
2328,廣宇,綜合,28,L
5534,長虹,半導體業,14,L
2101,南港,鋼鐵工業,11,L
2607,榮運,電腦及週邊設備業,15,L
2014,中鴻,造紙工業,10,L
7768,頌勝科技,半導體業,24,L
8081,致新,半導體業,24,L
6672,騰輝電子-KY,綜合,28,L
2535,達欣工,半導體業,14,L
1718,中纖,其他電子業,21,L
6456,GIS-KY,貿易百貨,26,L
9907,統一實,資訊服務業,20,L
3033,威健,綠能環保,29,L
2359,所羅門,運動休閒,31,L
8271,宇瞻,半導體業,24,L
1711,永光,其他電子業,21,L
2489,瑞軒,貿易百貨,26,L
7786,東方風能,其他等,35,L
1232,大統益,食品工業,02,L
3014,聯陽,半導體業,24,L
3617,碩天,運動休閒,31,L
2707,晶華,光電業,16,L
2836,高雄銀,通訊網路業,17,L
2820,華票,通訊網路業,17,L
2439,美律,油電燃氣業,27,L
2515,中工,半導體業,14,L
6830,汎銓,運動休閒,31,L
1440,南紡,紡織纖維,04,L
7711,永擎,金融保險,25,L
7722,LINEPAY,其他等,36,L
9914,美利達,其他等,37,L
2426,鼎元,貿易百貨,26,L
1608,華榮,電器電纜,06,L
2520,冠德,半導體業,14,L
6177,達麗,半導體業,14,L
4961,天鈺,半導體業,24,L
3013,晟銘電,金融保險,25,L
6605,帝寶,橡膠工業,12,L
3592,瑞鼎,半導體業,24,L
2543,皇昌,半導體業,14,L
2375,凱美,綜合,28,L
3149,正達,貿易百貨,26,L
6269,台郡,綜合,28,L
2355,敬鵬,綜合,28,L
1419,新紡,紡織纖維,04,L
1723,中碳,其他電子業,21,L
7788,松川精密,綜合,28,L
2727,王品,光電業,16,L
2402,毅嘉,綜合,28,L
4967,十銓,半導體業,24,L
2401,凌陽,半導體業,24,L
5607,遠雄港,電腦及週邊設備業,15,L
2103,台橡,鋼鐵工業,11,L
2392,正崴,綜合,28,L
3704,合勤控,油電燃氣業,27,L
6206,飛捷,金融保險,25,L
2247,汎德永業,橡膠工業,12,L
7749,意騰-KY,半導體業,24,L
1104,環泥,水泥工業,01,L
9911,櫻花,其他等,38,L
3305,昇貿,運動休閒,31,L
3380,明泰,油電燃氣業,27,L
3055,蔚華科,綠能環保,29,L
4169,泰宗,建材營造,22,L
3028,增你強,綠能環保,29,L
2605,新興,電腦及週邊設備業,15,L
6962,奕力-KY,半導體業,24,L
6901,鑽石投資,資訊服務業,20,L
2338,光罩,半導體業,24,L
6937,天虹,半導體業,24,L
5284,jpp-KY,資訊服務業,20,L
4906,正文,油電燃氣業,27,L
4770,上品,其他電子業,21,L
1905,華紙,玻璃陶瓷,09,L
6753,龍德造船,電腦及週邊設備業,15,L
3029,零壹,數位雲端,30,L
9937,全國,航運業,23,L
1714,和桐,其他電子業,21,L
2905,三商,電子零組件業,18,L
2466,冠西電,貿易百貨,26,L
2480,敦陽科,數位雲端,30,L
3703,欣陸,半導體業,14,L
6202,盛群,半導體業,24,L
2704,國賓,光電業,16,L
1712,興農,其他電子業,21,L
1313,聯成,塑膠工業,03,L
2106,建大,鋼鐵工業,11,L
2530,華建,半導體業,14,L
5243,乙盛-KY,貿易百貨,26,L
5007,三星,造紙工業,10,L
1789,神隆,建材營造,22,L
3048,益登,綠能環保,29,L
2369,菱生,半導體業,24,L
6024,群益期,通訊網路業,17,L
6443,元晶,貿易百貨,26,L
2340,台亞,半導體業,24,L
9925,新保,資訊服務業,20,L
3605,宏致,綜合,28,L
1304,台聚,塑膠工業,03,L
2485,兆赫,油電燃氣業,27,L
9930,中聯資源,其他等,35,L
3022,威強電,金融保險,25,L
8114,振樺電,金融保險,25,L
4536,拓凱,其他等,37,L
3135,凌航,半導體業,24,L
9908,大台北,航運業,23,L
1536,和大,橡膠工業,12,L
2233,宇隆,橡膠工業,12,L
2231,為升,橡膠工業,12,L
9802,鈺齊-KY,其他等,37,L
9136,巨騰-DR,其他等,91,L
2227,裕日車,橡膠工業,12,L
1623,大東電,電器電纜,06,L
1312,國喬,塑膠工業,03,L
6589,台康生技,建材營造,22,L
1708,東鹼,其他電子業,21,L
3416,融程電,金融保險,25,L
6209,今國光,貿易百貨,26,L
3705,永信,建材營造,22,L
1710,東聯,其他電子業,21,L
9940,信義,資訊服務業,20,L
7780,大研生醫*,食品工業,02,L
2332,友訊,油電燃氣業,27,L
8478,東哥遊艇,其他等,37,L
2484,希華,綜合,28,L
2495,普安,金融保險,25,L
3059,華晶科,貿易百貨,26,L
2832,台產,通訊網路業,17,L
6768,志強-KY,其他等,37,L
2108,南帝,鋼鐵工業,11,L
3209,全科,綠能環保,29,L
2010,春源,造紙工業,10,L
2511,太子,半導體業,14,L
2608,嘉里大榮,電腦及週邊設備業,15,L
9938,百和,資訊服務業,20,L
2009,第一銅,造紙工業,10,L
1909,榮成,玻璃陶瓷,09,L
2731,雄獅,光電業,16,L
1707,葡萄王,建材營造,22,L
6183,關貿,數位雲端,30,L
4960,誠美材,貿易百貨,26,L
2406,國碩,貿易百貨,26,L
2436,偉詮電,半導體業,24,L
4916,事欣科,金融保險,25,L
6854,錼創科技-KY創,半導體業,24,L
1234,黑松,食品工業,02,L
6189,豐藝,綠能環保,29,L
4755,三福化,其他電子業,21,L
5288,豐祥-KY,電機機械,05,L
2545,皇翔,半導體業,14,L
4104,佳醫,建材營造,22,L
6782,視陽,建材營造,22,L
2524,京城,半導體業,14,L
4441,振大環球,紡織纖維,04,L
4532,瑞智,電機機械,05,L
3545,敦泰,半導體業,24,L
1307,三芳,塑膠工業,03,L
8462,柏文,其他等,37,L
1726,永記,其他電子業,21,L
2373,震旦行,運動休閒,31,L
1903,士紙,玻璃陶瓷,09,L
2617,台航,電腦及週邊設備業,15,L
4989,榮科,綜合,28,L
4977,眾達-KY,油電燃氣業,27,L
6153,嘉聯益,綜合,28,L
6965,中傑-KY,其他等,37,L
4771,望隼,建材營造,22,L
1597,直得,電機機械,05,L
6873,泓德能源,其他等,35,L
4739,康普,其他電子業,21,L
6438,迅得,運動休閒,31,L
2031,新光鋼,造紙工業,10,L
8499,鼎炫-KY,運動休閒,31,L
6861,睿生光電,建材營造,22,L
2323,中環,貿易百貨,26,L
2723,美食-KY,光電業,16,L
2546,根基,半導體業,14,L
3015,全漢,綜合,28,L
4736,泰博,建材營造,22,L
2547,日勝生,半導體業,14,L
6581,鋼聯,其他等,35,L
2457,飛宏,綜合,28,L
7818,溢泰實業,其他等,35,L
2753,八方雲集,光電業,16,L
1709,和益,其他電子業,21,L
1727,中華化,其他電子業,21,L
6550,北極星藥業-KY,建材營造,22,L
6957,裕慶-KY,資訊服務業,20,L
2423,固緯,運動休閒,31,L
6192,巨路,運動休閒,31,L
2348,海悅,資訊服務業,20,L
2527,宏璟,半導體業,14,L
6834,天二科技,綜合,28,L
2331,精英,金融保險,25,L
1582,信錦,綜合,28,L
1720,生達,建材營造,22,L
5471,松翰,半導體業,24,L
3645,達邁,綜合,28,L
2630,亞航,電腦及週邊設備業,15,L
5222,全訊,半導體業,24,L
1103,嘉泥,水泥工業,01,L
2908,特力,電子零組件業,18,L
2236,百達-KY,橡膠工業,12,L
6706,惠特,貿易百貨,26,L
5306,桂盟,其他等,37,L
2034,允強,造紙工業,10,L
6790,永豐實,玻璃陶瓷,09,L
4927,泰鼎-KY,綜合,28,L
6541,泰福-KY,建材營造,22,L
2612,中航,電腦及週邊設備業,15,L
6230,尼得科超眾,金融保險,25,L
1612,宏泰,電器電纜,06,L
4306,炎洲,塑膠工業,03,L
1442,名軒,半導體業,14,L
8163,達方,金融保險,25,L
1203,味王,食品工業,02,L
1537,廣隆,電機機械,05,L
2104,國際中橡,鋼鐵工業,11,L
3003,健和興,綜合,28,L
4968,立積,半導體業,24,L
3312,弘憶股,綠能環保,29,L
3049,精金,貿易百貨,26,L
3694,海華,油電燃氣業,27,L
2636,台驊控股,電腦及週邊設備業,15,L
6464,台數科,資訊服務業,20,L
9942,茂順,資訊服務業,20,L
2414,精技,綠能環保,29,L
8341,日友,其他等,35,L
3004,豐達科,造紙工業,10,L
3701,大眾控,金融保險,25,L
6869,雲豹能源,其他等,35,L
3708,上緯投控,其他等,35,L
5285,界霖,半導體業,24,L
2528,皇普,半導體業,14,L
1532,勤美,電機機械,05,L
6533,晶心科,半導體業,24,L
8374,羅昇,電機機械,05,L
4526,東台,電機機械,05,L
1702,南僑,食品工業,02,L
6534,正瀚-創,建材營造,22,L
6655,科定,資訊服務業,20,L
6914,阜爾運通,資訊服務業,20,L
6215,和椿,運動休閒,31,L
1522,堤維西,橡膠工業,12,L
3504,揚明光,貿易百貨,26,L
2913,農林,電子零組件業,18,L
2420,新巨,綜合,28,L
2762,世界健身-KY,其他等,37,L
8213,志超,綜合,28,L
3032,偉訓,綜合,28,L
1615,大山,電器電纜,06,L
8215,明基材,貿易百貨,26,L
6862,三集瑞-KY,綜合,28,L
2102,泰豐,鋼鐵工業,11,L
7765,中華資安,其他等,36,L
1604,聲寶,電器電纜,06,L
6585,鼎基,資訊服務業,20,L
2419,仲琦,油電燃氣業,27,L
1110,東泥,水泥工業,01,L
2349,錸德,貿易百貨,26,L
9926,新海,航運業,23,L
4571,鈞興-KY,電機機械,05,L
1436,華友聯,半導體業,14,L
2399,映泰,金融保險,25,L
1308,亞聚,塑膠工業,03,L
1614,三洋電,電器電纜,06,L
6115,鎰勝,綜合,28,L
6120,達運,貿易百貨,26,L
1342,八貫,資訊服務業,20,L
6235,華孚,金融保險,25,L
3622,洋華,貿易百貨,26,L
6277,宏正,金融保險,25,L
1218,泰山,食品工業,02,L
2465,麗臺,金融保險,25,L
6112,邁達特,數位雲端,30,L
5515,建國,半導體業,14,L
2013,中鋼構,造紙工業,10,L
8473,山林水,其他等,35,L
3535,晶彩科,貿易百貨,26,L
9927,泰銘,資訊服務業,20,L
1444,力麗,紡織纖維,04,L
1809,中釉,生技醫療業,08,L
5292,華懋,其他等,35,L
2852,第一保,通訊網路業,17,L
4137,麗豐-KY,建材營造,22,L
2497,怡利電,橡膠工業,12,L
3062,建漢,油電燃氣業,27,L
9918,欣天然,航運業,23,L
7740,熙特爾-創,其他等,35,L
2534,宏盛,半導體業,14,L
2387,精元,金融保險,25,L
2107,厚生,鋼鐵工業,11,L
5531,鄉林,半導體業,14,L
2342,茂矽,半導體業,24,L
2302,麗正,半導體業,24,L
2816,旺旺保,通訊網路業,17,L
1447,力鵬,紡織纖維,04,L
4142,國光生,建材營造,22,L
5519,隆大,半導體業,14,L
1618,合機,電器電纜,06,L
1305,華夏,塑膠工業,03,L
2450,神腦,油電燃氣業,27,L
2305,全友,金融保險,25,L
2483,百容,綜合,28,L
3130,一零四,其他等,36,L
1515,力山,電機機械,05,L
1713,國化,其他電子業,21,L
6426,統新,油電燃氣業,27,L
6416,瑞祺電通,油電燃氣業,27,L
8103,瀚荃,綜合,28,L
1810,和成,生技醫療業,08,L
2365,昆盈,金融保險,25,L
910861,神州-DR,其他等,91,L
1321,大洋,塑膠工業,03,L
3056,富華新,半導體業,14,L
2417,圓剛,金融保險,25,L
1256,鮮活果汁-KY,食品工業,02,L
8404,百和興業-KY,資訊服務業,20,L
2114,鑫永銓,鋼鐵工業,11,L
6756,威鋒電子,半導體業,24,L
4438,廣越,紡織纖維,04,L
5525,順天,半導體業,14,L
6863,永道-KY,油電燃氣業,27,L
3679,新至陞,綜合,28,L
6923,中台,其他等,35,L
4540,全球傳動,電機機械,05,L
4566,時碩工業,電機機械,05,L
2505,國揚,半導體業,14,L
2228,劍麟,橡膠工業,12,L
1225,福懋油,食品工業,02,L
6184,大豐電,資訊服務業,20,L
1235,興泰,食品工業,02,L
6958,日盛台駿,資訊服務業,20,L
7730,暉盛-創,半導體業,24,L
2459,敦吉,運動休閒,31,L
6117,迎廣,金融保險,25,L
2397,友通,金融保險,25,L
6933,AMAX-KY,金融保險,25,L
2029,盛餘,造紙工業,10,L
9943,好樂迪,光電業,16,L
5538,東明-KY,造紙工業,10,L
3528,安馳,綠能環保,29,L
4746,台耀,建材營造,22,L
2601,益航,電腦及週邊設備業,15,L
8438,昶昕,其他等,35,L
6658,聯策,運動休閒,31,L
2536,宏普,半導體業,14,L
9946,三發地產,半導體業,14,L
8249,菱光,綜合,28,L
6155,鈞寶,綜合,28,L
6224,聚鼎,綜合,28,L
1737,臺鹽,食品工業,02,L
912000,晨訊科-DR,其他等,91,L
1315,達新,塑膠工業,03,L
1201,味全,食品工業,02,L
1734,杏輝,建材營造,22,L
4952,凌通,半導體業,24,L
2706,第一店,光電業,16,L
2442,新美齊,半導體業,14,L
1437,勤益控,資訊服務業,20,L
9905,大華,資訊服務業,20,L
1535,中宇,電機機械,05,L
1603,華電,電器電纜,06,L
3338,泰碩,綜合,28,L
2433,互盛電,運動休閒,31,L
4994,傳奇,數位雲端,30,L
9924,福興,其他等,38,L
2405,輔信,金融保險,25,L
1558,伸興,電機機械,05,L
2614,東森,資訊服務業,20,L
3138,耀登,油電燃氣業,27,L
6168,宏齊,貿易百貨,26,L
4572,駐龍,電機機械,05,L
5225,東科-KY,運動休閒,31,L
5258,虹堡,金融保險,25,L
2460,建通,綜合,28,L
4912,聯德控股-KY,綜合,28,L
1309,台達化,塑膠工業,03,L
2413,環科,綜合,28,L
1725,元禎,其他電子業,21,L
2020,美亞,造紙工業,10,L
6695,芯鼎,半導體業,24,L
6205,詮欣,綜合,28,L
2008,高興昌,造紙工業,10,L
5608,四維航,電腦及週邊設備業,15,L
4164,承業醫,建材營造,22,L
8045,達運光電,油電燃氣業,27,L
8467,波力-KY,其他等,37,L
1108,幸福,水泥工業,01,L
1310,台苯,塑膠工業,03,L
4119,旭富,建材營造,22,L
4976,佳凌,貿易百貨,26,L
5203,訊連,數位雲端,30,L
2453,凌群,數位雲端,30,L
8162,微矽電子-創,半導體業,24,L
7736,虎山,橡膠工業,12,L
4949,有成精密,貿易百貨,26,L
3031,佰鴻,貿易百貨,26,L
1760,寶齡富錦,建材營造,22,L
1583,程泰,電機機械,05,L
4942,嘉彰,貿易百貨,26,L
3717,聯嘉投控,橡膠工業,12,L
3716,中化控股,建材營造,22,L
6794,向榮生技,建材營造,22,L
5521,工信,半導體業,14,L
2028,威致,造紙工業,10,L
6281,全國電,綠能環保,29,L
8482,商億-KY,其他等,38,L
4569,六方科-KY,橡膠工業,12,L
3257,虹冠電,半導體業,24,L
3054,立萬利,綠能環保,29,L
2514,龍邦,資訊服務業,20,L
3060,銘異,金融保險,25,L
6776,展碁國際,綠能環保,29,L
3530,晶相光,半導體業,24,L
1109,信大,水泥工業,01,L
2427,三商電,數位雲端,30,L
7821,神數,橡膠工業,12,L
2030,彰源,造紙工業,10,L
7791,皇家可口,食品工業,02,L
1460,宏遠,紡織纖維,04,L
4590,富田-創,電機機械,05,L
1455,集盛,紡織纖維,04,L
1217,愛之味,食品工業,02,L
6477,安集,貿易百貨,26,L
1525,江申,橡膠工業,12,L
6902,GOGOLOOK,其他等,36,L
2701,萬企,光電業,16,L
3501,維熹,綜合,28,L
2012,春雨,造紙工業,10,L
3266,昇陽,半導體業,14,L
1524,耿鼎,橡膠工業,12,L
4935,茂林-KY,貿易百貨,26,L
1472,三洋實業,半導體業,14,L
5283,禾聯碩,電器電纜,06,L
1527,鑽全,電機機械,05,L
6743,安普新,運動休閒,31,L
6928,攸泰科技,金融保險,25,L
6625,必應,資訊服務業,20,L
4564,元翎,電機機械,05,L
2241,艾姆勒,橡膠工業,12,L
1464,得力,紡織纖維,04,L
1457,宜進,紡織纖維,04,L
4737,華廣,建材營造,22,L
6141,柏承,綜合,28,L
2538,基泰,半導體業,14,L
1721,國慶科技,其他電子業,21,L
3046,建碁,金融保險,25,L
6689,伊雲谷,其他等,36,L
1528,恩德,電機機械,05,L
6799,來頡,半導體業,24,L
6201,亞弘電,運動休閒,31,L
8104,錸寶,貿易百貨,26,L
1611,中電,電器電纜,06,L
3712,永崴投控,金融保險,25,L
9934,成霖,其他等,38,L
1616,億泰,電器電纜,06,L
3051,力特,貿易百貨,26,L
1786,科妍,建材營造,22,L
2748,雲品,光電業,16,L
1219,福壽,食品工業,02,L
1316,上曜,半導體業,14,L
3588,通嘉,半導體業,24,L
2109,華豐,鋼鐵工業,11,L
4178,永笙-KY,建材營造,22,L
1435,中福,資訊服務業,20,L
2017,官田鋼,造紙工業,10,L
6742,澤米,貿易百貨,26,L
6668,中揚光,貿易百貨,26,L
9931,欣高,航運業,23,L
5706,鳳凰,光電業,16,L
8476,台境*,其他等,35,L
1617,榮星,電器電纜,06,L
2243,宏旭-KY,橡膠工業,12,L
7721,微程式,其他等,36,L
2910,統領,電子零組件業,18,L
6165,浪凡,其他等,36,L
4934,太極,貿易百貨,26,L
2007,燁興,造紙工業,10,L
2488,漢平,運動休閒,31,L
5533,皇鼎,半導體業,14,L
2425,承啟,金融保險,25,L
2062,橋椿,其他等,38,L
4439,冠星-KY,紡織纖維,04,L
1414,東和,紡織纖維,04,L
3047,訊舟,油電燃氣業,27,L
8367,建新國際,電腦及週邊設備業,15,L
6142,友勁,油電燃氣業,27,L
3041,揚智,半導體業,24,L
2429,銘旺科,貿易百貨,26,L
3543,州巧,貿易百貨,26,L
1423,利華,紡織纖維,04,L
4956,光鋐,貿易百貨,26,L
